Veic 01	'867488060855003		'NaN	CAM5003	Instalado		Map2	Campinas															
212454	7:58:01 AM	7:58:18 AM	11/23/24	Mapa	Mapa	00:00:17			-	5.10	Mapa		1							100.00				
212456	7:58:49 AM	9:34:04 AM	11/23/24	Mapa	Mapa	01:35:15	105.50	66.46	Z5	120.70	Mapa		84	0.80			3			17.81	23.78	17.45	39.09	1.87
212778	9:44:04 AM	10:03:15 AM	11/23/24	Mapa	Mapa	00:19:11			-		Mapa		1							100.00				
212808	10:03:29 AM	10:56:58 AM	11/23/24	Mapa	Mapa	00:53:29	33.10	37.13	Z3	118.00	Mapa		73	2.21			3			41.51	42.44	3.30	12.75	
213174	11:02:26 AM	11:02:34 AM	11/23/24	Mapa	Mapa	00:00:08			-		Mapa		1							100.00				
213176	11:02:56 AM	11:48:13 AM	11/23/24	Mapa	Mapa	00:45:17	67.50	89.44	Z4	123.70	Mapa		37	0.55						7.21	7.29	15.05	65.40	5.04
213486	11:57:32 AM	11:57:54 AM	11/23/24	Mapa	Mapa	00:00:22			-	15.70	Mapa		1							100.00				
213492	11:57:59 AM	12:18:28 PM	11/23/24	Mapa	Mapa	00:20:29	5.20	15.23	Z1	58.10	Mapa		45	8.65						66.72	33.28			
213597	12:28:27 PM	1:04:39 PM	11/23/24	Mapa	Mapa	00:36:12			-		Mapa		1							100.00				
213632	1:04:52 PM	1:13:38 PM	11/23/24	Mapa	Mapa	00:08:46	2.30	15.74	Z1	40.30	Mapa		23	10.00						75.48	24.52			
214301	3:16:33 PM	3:16:36 PM	11/23/24	Mapa	Mapa	00:00:03			-	13.50	Mapa		1							100.00				
214304	3:16:46 PM	3:25:15 PM	11/23/24	Mapa	Mapa	00:08:29	2.00	14.15	Z1	32.20	Mapa		22	11.00						80.75	19.25			
214430	3:35:14 PM	8:45:18 AM	11/23/24	Mapa	Mapa	17:10:04			-		Mapa		1							100.00				
215205	8:45:31 AM	9:07:27 AM	11/24/24	Mapa	Mapa	00:21:56	6.70	18.33	Z1	59.20	Mapa		38	5.67			2			60.79	39.21			
215295	9:17:26 AM	10:31:24 AM	11/24/24	Mapa	Mapa	01:13:58			-		Mapa									100.00				
215383	10:31:28 AM	10:36:24 AM	11/24/24	Mapa	Mapa	00:04:56	2.00	24.32	Z1	41.90	Mapa		21	10.50						38.18	61.82			
215419	10:46:24 AM	10:46:51 AM	11/24/24	Mapa	Mapa	00:00:27			-		Mapa									100.00				
215421	10:47:15 AM	10:56:27 AM	11/24/24	Mapa	Mapa	00:09:12	2.60	16.96	Z1	49.50	Mapa		22	8.46						60.51	39.49			
215468	11:06:26 AM	11:53:52 AM	11/24/24	Mapa	Mapa	00:47:26			-		Mapa		1							100.00				
215641	11:54:21 AM	12:00:32 PM	11/24/24	Mapa	Mapa	00:06:11	1.20	11.64	Z1	43.70	Mapa		13	10.83						69.54	30.46			
215712	12:21:14 PM	12:21:21 PM	11/24/24	Mapa	Mapa	00:00:07			-	12.60	Mapa		1							100.00				
215715	12:21:44 PM	12:26:53 PM	11/24/24	Mapa	Mapa	00:05:09	1.10	12.82	Z1	37.30	Mapa		11	10.00						80.26	19.74			
215791	12:36:52 PM	12:49:32 PM	11/24/24	Mapa	Mapa	00:12:40			-		Mapa									100.00				
215797	12:49:42 PM	12:58:25 PM	11/24/24	Mapa	Mapa	00:08:43	2.90	19.96	Z1	54.10	Mapa		21	7.24						69.02	30.98			
215842	1:09:32 PM	1:09:35 PM	11/24/24	Mapa	Mapa	00:00:03			-	16.40	Mapa		1				1			100.00				
215844	1:09:37 PM	1:15:38 PM	11/24/24	Mapa	Mapa	00:06:01	1.90	18.95	Z1	52.30	Mapa		6	3.16						52.63	47.37			
215868	1:25:38 PM	2:17:17 PM	11/24/24	Mapa	Mapa	00:51:39			-		Mapa									100.00				
215890	2:17:25 PM	2:40:53 PM	11/24/24	Mapa	Mapa	00:23:28	8.20	20.97	Z1	56.80	Mapa		40	4.88	1		1			54.76	45.24			
216009	2:50:53 PM	2:52:11 PM	11/24/24	Mapa	Mapa	00:01:18			-		Mapa		1							100.00				
216015	2:52:12 PM	3:01:32 PM	11/24/24	Mapa	Mapa	00:09:20	4.00	25.71	Z1	64.80	Mapa		19	4.75			1			40.54	54.11	5.36		
216062	3:11:32 PM	8:21:30 PM	11/24/24	Mapa	Mapa	05:09:58			-		Mapa		1							100.00				
216380	8:21:33 PM	8:44:57 PM	11/24/24	Mapa	Mapa	00:23:24	21.60	55.38	Z2	102.70	Mapa		26	1.20			1			20.87	29.49	42.02	7.62	
216497	8:50:29 PM	8:50:59 PM	11/24/24	Mapa	Mapa	00:00:30			-	20.60	Mapa									100.00				
216499	8:51:29 PM	9:11:39 PM	11/24/24	Mapa	Mapa	00:20:10	20.40	60.69	Z2	95.60	Mapa		16	0.78						9.17	30.74	44.46	15.62	
216626	9:21:39 PM	12:26:27 PM	11/24/24	Mapa	Mapa	15:04:48			-		Mapa									100.00				
217520	12:26:57 PM	12:38:48 PM	11/25/24	Mapa	Mapa	00:11:51	2.70	13.67	Z1	50.90	Mapa		25	9.26						67.37	32.63			
217611	12:45:59 PM	12:46:24 PM	11/25/24	Mapa	Mapa	00:00:25			-	16.30	Mapa		1							100.00				
217613	12:46:29 PM	12:52:53 PM	11/25/24	Mapa	Mapa	00:06:24	2.00	18.75	Z1	55.20	Mapa		14	7.00						59.90	40.10			
217694	1:02:53 PM	2:53:01 PM	11/25/24	Mapa	Mapa	25:50:08			-		Mapa									100.00				

